type,name,calendar,category,sbj_list,cnbr_name
plan,CIVE,2017,1A,CHE,102
,,,,CIVE,100
,,,,CIVE,104
,,,,CIVE,115
,,,,MATH,116
,,,1B,CIVE,105
,,,,CIVE,121
,,,,CIVE,153
,,,,GENE,123
,,,,MATH,118
,,,2A,CIVE,204
,,,,CIVE,221
,,,,CIVE,224
,,,,CIVE,241
,,,,CIVE,265
,,,2B,CIVE,205
,,,,CIVE,222
,,,,CIVE,230
,,,,CIVE,280
,,,,CIVE,392
,,,3A,CIVE,303
,,,,CIVE,332
,,,,CIVE,341
,,,,CIVE,353
,,,,CIVE,382
,,,,WKRPT,200
,,,3B,CIVE,310
,,,,CIVE,375
,,,,WKRPT,300
,,,4A,CIVE,400
,,,,CIVE,491
,,,,WKRPT,400
,,,4B,CIVE,401
,,,CSE,list,eng_cseA
,,,,list,eng_cseC
,,,,list,eng_cseC
,,,,list,eng_cseACD
,,,TE,list,cive_teA
,,,,list,cive_teA
,,,,list,cive_teA
,,,,list,cive_teAB
,,,,list,cive_teAB
,,,,list,cive_teAB
,,,,list,cive_teAB
,,,,list,cive_teC
,,,WKTRM,COOP,1
,,,,COOP,2
,,,,COOP,3
,,,,COOP,4
,,,,COOP,5
,,,PDENG,PD,20
,,,,PD,21
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,MLSTN,UENGLPROF,
,,,,WHMIS,
list,cive_teA,2017,,CIVE,343
,,,,CIVE,354
,,,,CIVE,413
,,,,CIVE,414
,,,,CIVE,415
,,,,CIVE,460
,,,,CIVE,512
,,,,CIVE,542
,,,,CIVE,554
,,,,CIVE,583
,,,,CIVE,596
,,,,ENVE,577
list,cive_teAB,2017,,list,cive_teA
,,,,list,cive_teB
list,cive_teB,2017,,ARCH,277
,,,,CIVE,306
,,,,CIVE,422
,,,,CIVE,440
,,,,CIVE,484
,,,,CIVE,497
,,,,CIVE,505
,,,,CIVE,507
,,,,ENVE,277
,,,,ENVE,279
,,,,ENVE,383
,,,,ENVE,573
list,cive_teC,2017,,BIOL,150
,,,,BIOL,240
,,,,BIOL,273
,,,,CHE,161
,,,,CHEM,209
,,,,CHEM,217
,,,,CHEM,262
,,,,EARTH,221
,,,,EARTH,270
,,,,EARTH,281
,,,,ENVS,200
,,,,KIN,100
,,,,SCI,238
